original_clean,Unnamed: 0,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score,memorability_score_1,memorability_score_2,final_leiva_memscore,llm_mem,memorability_leiva
this will be hard,2,I just found out I need to give a presentation in front of 500 people next week,This will be hard.,8,2,Can you explain quantum mechanics to me in one sentence?,This will be hard.,0,3,This will be hard.,7,high,0.0,4,low,low,low,low,low,medium,1.4,1.0,11.5316719,11.5316719,11.5316719,4.0,high
have a good evening,8,"I'm heading out to watch the sunset tonight, isn't it supposed to be beautiful?",Have a good evening.,8,2,Have you finished the project?,Have a good evening.,10,1,Have a good evening.,7,high,0.0,4,low,high,low,high,low,low,2.2,1.8,12.9784672,12.9784672,12.9784672,9.0,high
sounds good to me,9,Are we meeting at 5 pm for dinner?,Sounds good to me.,6,1,Shall we meet at the usual place on Tuesday?,Sounds good to me.,10,1,Sounds good to me.,8,high,-3.0,4,low,medium,medium,low,high,medium,1.8,1.6,12.6037467,12.6037467,12.6037467,8.0,high
will follow up today,13,Did you receive the meeting minutes?,Will follow up today.,6,1,Have you finished preparing the marketing strategy for our new product?,Will follow up today.,9,2,Will follow up today.,7,high,2.0,4,low,low,low,low,low,low,1.0,1.0,13.1534065,13.1534065,13.1534065,7.5,high
further out  will fax you price target slide,28,can you provide me with the latest sales figures?,Further out - will fax you price target slide.,4,3,Have you seen the latest stock market trend for XYZ corporation?,Further out - will fax you price target slide.,4,3,Further out - will fax you price target slide.,3,low,3.0,9,low,low,low,high,low,low,1.4,1.0,17.5953241,17.5953241,17.5953241,4.0,low
please forward to andy edison and stuart zisman,49,can you forward the meeting minutes to Andy Edison and Stuart Zisman?,Please forward to Andy Edison and Stuart Zisman.,9,2,Have you received the latest market analysis report?,Please forward to Andy Edison and Stuart Zisman.,7,2,Please forward to Andy Edison and Stuart Zisman.,3,low,7.0,8,low,medium,low,high,low,medium,2.2,1.4,18.7379441,18.7379441,18.7379441,8.0,low
ok by me,53,can we watch the movie tonight?,OK by me.,6,1,Shall we meet at the usual place tomorrow?,OK by me.,10,1,OK by me.,7,high,1.0,3,low,low,low,low,high,low,1.0,1.0,11.6691015,11.6691015,11.6691015,8.0,high
is she done yet,55,when will she finish the project?,Is she done yet?,9,2,Sarah finished baking the apple pie. Is she done yet?,Is she done yet?,10,1,Is she done yet?,10,high,0.0,4,low,medium,low,high,low,low,1.8,1.4,13.39225923,13.39225923,13.39225923,9.5,high
how are you,60,I'm feeling unwell today,How are you?,8,2,I've been thinking about our project deadline,How are you?,8,2,How are you?,8,high,1.0,3,low,low,low,high,low,high,2.2,1.0,11.5619515,11.5619515,11.5619515,8.0,high
i better go,62,the fire alarm just went off in the building,I better go.,8,2,It's raining cats and dogs outside.,I better go.,7,2,I better go.,7,high,1.0,3,medium,high,low,high,low,high,3.0,2.2,11.9453889,11.9453889,11.9453889,7.5,high
not just 1 to 2,66,do you ever feel like you're stuck in a rut?,Not just 1 to 2.,6,2,How many books do you usually read in a week?,Not just 1 to 2.,8,2,Not just 1 to 2.,7,high,2.0,5,low,low,low,low,low,low,1.0,1.0,12.5609682,12.5609682,12.5609682,7.0,high
heres the talking points for anngtc,67,What are the key takeaways from our last meeting?,Here's the talking points for ANNGTC.,6,3,Have you prepared the presentation for ANNGTC's quarterly report?,Here's the talking points for ANNGTC.,7,2,Here's the talking points for ANNGTC.,1,low,2.0,6,low,high,medium,low,low,low,1.8,2.0,19.48614085,19.48614085,19.48614085,6.5,low
the filing concerns various scheduling and balancing rules,69,What are the key rules governing financial transactions?,The filing concerns various scheduling and balancing rules.,6,2,Have you reviewed the new accounting regulations?,The filing concerns various scheduling and balancing rules.,7,2,The filing concerns various scheduling and balancing rules.,0,low,13.0,8,medium,high,medium,high,low,low,2.2,2.4,17.1245352,17.1245352,17.1245352,6.5,low
