"id","pid","extype","orig_phrase","sub_phrase","effect"
"1","id485d6e97579b2","4","Travis is in charge.","Trivis","0"
"2","id485d6e97579b2","4","Pressure to finish my review!","Pressure to finish your review","0"
"3","id485d6e97579b2","4","What do you think about Tracy and Jim?","What do you think about Tracy and Jim ","0"
"4","id485d6e97579b2","4","He doesn't want to give the trading positions.","He doesnt want to give ","0"
"5","id485d6e97579b2","4","I have forwarded to Kelly.","I have forwared to Kelly ","0"
"6","id485d6e97579b2","4","But we should pay them the 4500.","But we should pay the 4500","0"
"7","id485d6e97579b2","4","We need a process to deal with this.","We need to process with this","0"
"8","id485d6e97579b2","4","What did Mark say?","What did Mark say?","0"
"9","id485d6e97579b2","4","Am I getting a good package?","Am i a good package?","0"
"10","id485d6e97579b2","4","I can return earlier.","I can return earlier ","0"
"16","id485d6e97579b2","1","Um, no sir.","Um, no sir","0"
"17","id485d6e97579b2","1","A gift isn't necessary.","A gift insnt nessecary ","0"
"18","id485d6e97579b2","1","Steve Gilbert is working on this.","Steve Gilbert isn't working here","0"
"19","id485d6e97579b2","1","Sorry about that!","Sorry about that !","0"
"20","id485d6e97579b2","1","What does ""held"" mean?","What does ""held"" mean?","0"
"21","id485d6e97579b2","1","No obligation to pay.","No obligation to pay ","0"
"22","id485d6e97579b2","1","There is now a meeting at 8PM as well.","There is now a metting at 8PM as well","0"
"23","id485d6e97579b2","1","No to both.","No to both.","0"
"24","id485d6e97579b2","1","What is your issue sir?","What is your issue sir?","0"
"25","id485d6e97579b2","1","Do you still need me to sign something?","Do you stil want me to sing something?","0"
"26","id485d6e97579b2","3","I was trying to remember what Bobby said.","I was not remember what Bobby say","0"
"27","id485d6e97579b2","3","Can you help me here?","Can you help me here?","0"
"28","id485d6e97579b2","3","I have 30 minutes then.","I have 30 minutes there","0"
"29","id485d6e97579b2","3","I just tracked down Steve.","i JUST TRUCKED DOWN STEVE","0"
"30","id485d6e97579b2","3","The troops just walked in.","The troops just walked in","0"
