,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
404,I'm feeling exhausted from my morning workout,I guess that's additive to my stretch?,6,2,Have you finished reading the new marketing report?,I guess that's additive to my stretch?,5,3,I guess that's additive to my stretch?,2,low,4.0,7,low,low,low,high,low,low,1.4,1.0
711,what did bobby say to us last weekend?,I was trying to remember what Bobby said.,7,2,Did Bobby mention the details of his grandma's old house?,I was trying to remember what Bobby said.,5,2,I was trying to remember what Bobby said.,7,high,4.0,8,low,low,low,low,low,medium,1.4,1.0
298,The Federal Energy Regulatory Commission has approved the construction of a new pipeline.,Good to know that the FERC cares!,6,3,The FERC has announced new regulations for hydroelectric power plants.,Good to know that the FERC cares!,7,2,Good to know that the FERC cares!,3,low,3.0,7,low,low,low,low,low,low,1.0,1.0
230,Have you reviewed the quarterly financial reports?,There are several business issues outstanding.,6,3,Have you finalized the marketing budget for next quarter?,There are several business issues outstanding.,5,3,There are several business issues outstanding.,7,high,10.0,6,low,low,low,low,low,low,1.0,1.0
262,can you confirm the meeting time for tomorrow?,"If this has already been covered, then I apologize.",8,1,Have we discussed the possible causes of the recent system error?,"If this has already been covered, then I apologize.",5,2,"If this has already been covered, then I apologize.",2,low,8.0,9,low,low,low,high,low,low,1.4,1.0
174,I just got the new robot dog and I think it's amazing!,This is the neatest toy I have had.,8,2,Have you seen the new robotic vacuum cleaner in action?,This is the neatest toy I have had.,5,2,This is the neatest toy I have had.,7,high,0.0,8,low,low,low,low,low,low,1.0,1.0
364,Can you confirm your availability for the 1PM meeting on Friday?,I am unavailable for the 1PM meeting.,8,1,I've scheduled a meeting for us at 1PM tomorrow. Is that convenient for you?,I am unavailable for the 1PM meeting.,8,2,I am unavailable for the 1PM meeting.,3,low,4.0,7,low,low,low,low,low,medium,1.4,1.0
542,Did the Brown family really fund the University of Oxford?,I am not concerned with the Brown money.,6,3,Have you heard about the recent financial scandal involving the Brown family?,I am not concerned with the Brown money.,5,2,I am not concerned with the Brown money.,8,high,3.0,8,low,low,low,high,low,low,1.4,1.0
605,I'm worried about the lawsuit against me. I've been searching for advice on how to handle it.,"Finally, I would delete the paragraph about lawyers.",4,3,The legal documents are lengthy and complicated.,"Finally, I would delete the paragraph about lawyers.",3,2,"Finally, I would delete the paragraph about lawyers.",7,high,4.0,8,low,low,low,high,low,low,1.4,1.0
153,the new James Bond movie looks like it's going to be a thrilling ride!,It reads like she is in.,4,2,I just finished reading her email.,It reads like she is in.,8,2,It reads like she is in.,8,high,2.0,6,low,low,medium,low,high,low,1.0,1.2
466,where are you going for your birthday celebration?,Let me know where you might be.,8,2,"I've lost my way in this maze of streets, can you help?",Let me know where you might be.,5,3,Let me know where you might be.,3,low,0.0,7,low,low,medium,high,medium,low,1.4,1.2
830,When do I expect the call from AIG regarding the capital investment?,AIG has agreed capital call not due until Monday.,8,2,Have you received the latest financial update from AIG?,AIG has agreed capital call not due until Monday.,8,2,AIG has agreed capital call not due until Monday.,2,low,5.0,9,low,medium,low,low,low,medium,1.8,1.4
80,Can we discuss the details of my project over the phone?,Can you call me at home?,8,2,I've found an important email from your boss,Can you call me at home?,9,2,Can you call me at home?,7,high,0.0,6,low,medium,low,high,low,medium,2.2,1.4
188,where did we leave the neighbours' tools?,I didn't understand we were borrowing them.,6,2,Can I borrow your textbooks for the exam?,I didn't understand we were borrowing them.,10,2,I didn't understand we were borrowing them.,7,high,7.0,7,medium,low,low,high,low,low,1.4,1.4
606,Have you received the financial reports from Canada yet?,"Also, regarding the cash flow from Canada.",6,3,The sales from our Canadian branch have significantly improved.,"Also, regarding the cash flow from Canada.",8,2,"Also, regarding the cash flow from Canada.",7,high,9.0,7,low,medium,low,high,low,medium,2.2,1.4
602,Have you reviewed the post-bankruptcy financial reports?,Issue on post bankruptcy price risk issue remains.,6,3,Have you resolved the dispute regarding the post-bankruptcy pricing adjustments?,Issue on post bankruptcy price risk issue remains.,5,3,Issue on post bankruptcy price risk issue remains.,2,low,8.0,8,medium,low,low,high,low,low,1.4,1.4
98,Can you please help me with the agenda for today's meeting?,Would you mind taking the lead on this?,4,3,I've been having trouble understanding this report. Could you please explain it to me?,Would you mind taking the lead on this?,8,2,Would you mind taking the lead on this?,7,high,3.0,8,low,medium,low,high,low,low,1.8,1.4
684,is the new moon visible in the city tonight?,I am not aware of any.,5,1,Have you received the latest company financial report?,I am not aware of any.,3,2,I am not aware of any.,7,high,2.0,6,medium,low,low,low,medium,low,1.0,1.4
524,we need to discuss the company's marketing strategy,We need to bring them along slowly.,8,1,Let's introduce the new team members at the meeting today.,We need to bring them along slowly.,8,2,We need to bring them along slowly.,7,high,3.0,7,medium,low,low,high,medium,low,1.4,1.4
745,Have you ever felt like giving up on your dreams?,"As you know, it isn't easy.",6,2,You've been promoted to a manager role.,"As you know, it isn't easy.",7,3,"As you know, it isn't easy.",3,low,1.0,6,low,medium,medium,high,low,low,1.8,1.6
883,did you get the invitation to John's birthday party?,Can you get with Mary and make sure?,6,2,I need to discuss some important matters with Mary. Can you arrange a meeting?,Can you get with Mary and make sure?,8,2,Can you get with Mary and make sure?,7,high,0.0,8,medium,low,medium,high,medium,low,1.4,1.6
90,can you attend the annual corporate party on friday?,I would like to attend if so.,6,1,Will the seminar on machine learning be held next month?,I would like to attend if so.,10,2,I would like to attend if so.,8,high,0.0,7,low,medium,medium,low,low,medium,1.8,1.6
