original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s
this will be hard,I just found out I need to give a presentation in front of 500 people next week,Can you explain quantum mechanics to me in one sentence?,This will be hard.,high
how much volume,how much audio can be stored on this new 8gb memory card?,The water tank in the basement is overflowing.,How much volume?,high
have a good evening,"I'm heading out to watch the sunset tonight, isn't it supposed to be beautiful?",Have you finished the project?,Have a good evening.,high
sounds good to me,Are we meeting at 5 pm for dinner?,Shall we meet at the usual place on Tuesday?,Sounds good to me.,high
yes i am here actually,are you free to meet up today?,Do you live at 123 Main Street?,Yes I am here actually.,high
will follow up today,Did you receive the meeting minutes?,Have you finished preparing the marketing strategy for our new product?,Will follow up today.,high
thats a lot of dollars,"I just saw the price of my dream car and it's $120,000","I just sold my old car for $25,000.",That's a lot of dollars.,high
are you going to join us for lunch,have you finalized the meeting time?,I've made reservations for six at the new Italian place downtown.,Are you going to join us for lunch?,high
and how would i be going for work,I'm feeling pretty stressed about the project deadline,Have you checked the traffic on your usual commute route?,And how would I be going for work?,low
further out  will fax you price target slide,can you provide me with the latest sales figures?,Have you seen the latest stock market trend for XYZ corporation?,Further out - will fax you price target slide.,low
yes i am coming twice,Can you please come to the office?,I'll be at the party tonight around 8 pm.,Yes I am coming twice.,high
if so he probably will have to pay back,has he borrowed money from you before?,John borrowed more money than he could repay.,If so he probably will have to pay back.,low
was it a car wreck,I just got into a bad accident on the highway,I saw an accident at the corner of Elm and Oak.,Was it a car wreck?,high
please forward to andy edison and stuart zisman,can you forward the meeting minutes to Andy Edison and Stuart Zisman?,Have you received the latest market analysis report?,Please forward to Andy Edison and Stuart Zisman.,low
ok by me,can we watch the movie tonight?,Shall we meet at the usual place tomorrow?,OK by me.,high
is she done yet,when will she finish the project?,Sarah finished baking the apple pie. Is she done yet?,Is she done yet?,high
thanks for the quick turnaround,Can you please confirm the new project deadline?,I've finished the report ahead of schedule.,Thanks for the quick turnaround.,high
how are you,I'm feeling unwell today,I've been thinking about our project deadline,How are you?,high
i better go,the fire alarm just went off in the building,It's raining cats and dogs outside.,I better go.,high
i think we are dong ok,Are we on the same page with our project timeline?,Your presentation seems well-prepared,I think we are dong OK.,low
not just 1 to 2,do you ever feel like you're stuck in a rut?,How many books do you usually read in a week?,Not just 1 to 2.,high
heres the talking points for anngtc,What are the key takeaways from our last meeting?,Have you prepared the presentation for ANNGTC's quarterly report?,Here's the talking points for ANNGTC.,low
the filing concerns various scheduling and balancing rules,What are the key rules governing financial transactions?,Have you reviewed the new accounting regulations?,The filing concerns various scheduling and balancing rules.,low
please send to hartsoe for comment,Can you please review the latest sales figures for our quarterly report?,I've noticed some inconsistencies in the marketing campaign data.,Please send to Hartsoe for comment.,low
thus have nothing to destroy,What lies at the heart of all destruction?,Do you believe in the power of redemption?,Thus have nothing to destroy.,high
wish me luck with linda,Will you be going on a date with Linda tonight?,I have an important interview with Linda tomorrow.,Wish me luck with Linda.,high
yes i am playing,are you in the middle of playing a game?,Are you at the game right now?,"Yes, I am playing.",high
can you call me at home,Can we discuss the details of my project over the phone?,I've found an important email from your boss,Can you call me at home?,high
mostly a social call,Have you been busy lately?,"I was thinking about planning our next hike, which trail would you prefer?",Mostly a social call.,high
please call tomorrow if possible,Can we discuss the meeting agenda for tomorrow?,I'd like to discuss the details of our upcoming project.,Please call tomorrow if possible.,high
we are all fragile,have you ever felt like nothing's going right?,Do you think we can handle the pressures of modern life?,We are all fragile.,high
depends on price,Can we go to the movies tonight?,How much does the latest iPhone model cost?,Depends on price.,high
pretty impressive win,Did you see the thrilling game-winning goal in the football match yesterday?,You scored the winning goal in the championship match!,Pretty impressive win!,high
i would like to attend if so,can you attend the annual corporate party on friday?,Will the seminar on machine learning be held next month?,I would like to attend if so.,high
he played goalie almost the entire game,Did Ronaldo play well in the match?,Did Johnson make every save during the soccer match?,He played goalie almost the entire game.,high
i can return earlier,can you return earlier today?,"Your flight is delayed, can you still make it to the meeting?",I can return earlier.,high
i am trying again,can you please retry my password?,Can you solve the equation 2x + 3 = 7?,I am trying again.,high
i am in 50m if you need me,"I'm running late for our meeting, can you meet me at the usual spot?",Can you help me find the address of the new library?,I am in 50M if you need me.,high
would you mind taking the lead on this,Can you please help me with the agenda for today's meeting?,I've been having trouble understanding this report. Could you please explain it to me?,Would you mind taking the lead on this?,high
ill see you thursday october 25,Are you free to meet on Thursday October 25?,Let's meet up to discuss the project proposal next week.,I'll see you Thursday October 25.,low
what does held mean,The judge held the gavel tightly in her hand.,I've been holding this position for hours,"What does ""held"" mean?",high
probably can handle monday pm,Do you think I'll have time to wrap up my project by Monday?,Can you help me with the project presentation next Monday afternoon?,Probably can handle Monday PM.,high
i will bring john brindle,Are you bringing the necessary equipment for our meeting?,Have you forgotten to invite John Brindle to the meeting?,I will bring John Brindle.,high
need you or john to step out,What's going on with John?,John mentioned he left his keys at your place.,Need you or John to step out.,high
he would love anything about rocks,Why did you decide to become a geologist?,Have you seen the new geology exhibit at the museum?,He would love anything about rocks.,high
of course not,Did you eat the last slice of pizza?,Are you lying to me right now?,Of course not,high
what do you hear,Do you hear the music at the party?,The wind whispers through the trees.,What do you hear?,high
203 561 9796 cell,where did you get your phone number?,Can you give me your cell phone number to set up our dinner plans?,203 561 9796- cell,low
a bit behind on my emails,Did you receive my work email?,Have you finished processing that report?,A bit behind on my emails.,high
then we can go to zainy brainy,where do you want to go for dinner?,Let's discuss some complex concepts. I believe the human brain is capable of incredible feats.,Then we can go to Zainy Brainy.,high
hope your trip to florida was good,How was your trip to Florida?,I just got back from the Miami heat game.,Hope your trip to Florida was good.,high
what is your issue sir,"My laptop is not turning on, what could be the issue?",The software you developed crashes every time I use it.,What is your issue sir?,high
for your information,is the meeting still scheduled for tomorrow?,Have you checked the latest stock market news?,For your information.,high
what a nice note,I just got the most amazing flowers from my secret admirer.,I appreciate the thought you put into choosing this gift for me.,What a nice note.,high
i told gary you could make the call,Can I make the call to reschedule?,John asked if you could handle the project's budgeting.,I told Gary you could make the call.,high
i think we should consider this request,Have you considered our financial situation before making that purchase?,Have you heard about the new company policy on employee benefits?,I think we should consider this request.,high
whats his problem,I'm so frustrated with my boss's constant micromanaging!,I saw him arguing loudly in the park.,What's his problem?,high
she called and wants to come over this am,Did Sarah invite herself to our party?,Mom asked me to pick up groceries on my way home.,She called and wants to come over this AM.,high
there is now a meeting at 8pm as well,Are you still available to meet at 7pm today?,I need to schedule a call with John tomorrow.,There is now a meeting at 8PM as well.,high
paige is gone,Paige is missing and I'm starting to get worried.,I saw her car missing from the driveway this morning.,Paige is gone.,high
see you soon,Are we going to the beach tomorrow?,I'll pick you up at the airport on Friday.,See you soon!,high
see you soon,Are we going to the beach tomorrow?,I'll pick you up at the airport on Friday.,See you soon!,high
see you soon,Are we going to the beach tomorrow?,I'll pick you up at the airport on Friday.,See you soon!,high
see you soon,Are we going to the beach tomorrow?,I'll pick you up at the airport on Friday.,See you soon!,high
im on my way back there to do so,can you pick me up from the airport?,Can you please fix the printer at work?,I'm on my way back there to do so.,high
bound to be some media flack on this,Did you hear about the latest celebrity scandal?,Rumors of a scandal at the city hall.,Bound to be some media flack on this.,high
neal can you help with this,I'm having trouble with my car's GPS system. Can you explain why it keeps rerouting me?,"Neal, I've encountered an error message on my computer that reads: 'Access denied to file C:\Users\UserName\Documents\file.txt'. Can you help with this?","Neal, can you help with this?",high
is kathy here,Where's our meeting scheduled today?,I see Kathy's car is parked outside her house.,Is Kathy here?,high
get with dot,Did you just get the new phone?,Have you seen the new movie 'Interstellar'?,Get with Dot.,high
probably need to check with hr group providing services,Can we provide out-of-office services to non-employees?,John's new project requires different benefits than his current ones.,Probably need to check with HR group providing services.,low
check with haedicke,Can you help me check the inventory for tomorrow's delivery?,The stock price of Haedicke's preferred tech company has dropped significantly. What could be the reason?,Check with Haedicke,low
it reads like she is in,the new James Bond movie looks like it's going to be a thrilling ride!,I just finished reading her email.,It reads like she is in.,high
ds and ls,did you receive the package?,Have you finished reading 'To Kill a Mockingbird'?,DS and LS,high
in a couple of weeks,When can I expect my new laptop to arrive?,When can I expect the delivery of my new laptop?,In a couple of weeks.,high
has dynegy made a specific request,Dynegy has requested an urgent report on our team's progress.,Dynegy has proposed a new energy project. What's their specific plan?,Has Dynegy made a specific request?,high
i am walking in now,are you already home?,"I see you're at the library, which section are you in now?",I am walking in now.,high
they have capacity now,When will I be able to book the meeting room?,Can they handle another project right now?,They have capacity now.,high
is this cash coming into tw,when do you expect the money transfer?,I just transferred money into your account,Is this cash coming into TW?,high
a gift isnt necessary,I was thinking of celebrating our anniversary with a gift?,I'm thinking of getting you a birthday present.,A gift isn't necessary.,high
tell her to get my expense report done,Can you remind me to follow up with Sarah regarding our company's financial reports?,The company's annual budget meeting is scheduled for next week.,Tell her to get my expense report done.,high
i am out of town on business tonight,Are you free to meet up tonight?,I was wondering if you could help me out at the office tonight.,I am out of town on business tonight.,high
we need a process to deal with this,how can we manage our company's data breaches?,The software we're using has crashed and we can't access our project files.,We need a process to deal with this.,high
im waiting until she comes home,Are you looking forward to her coming home tonight?,Have you heard from Sarah about the party plans?,I'm waiting until she comes home.,high
not even close,can you even compare your cooking skills to a professional chef?,Do you know the capital city of Mongolia?,Not even close.,high
i have an am doctors appointment,When are you free to meet up?,Have you made any plans for tomorrow morning?,I have an AM doctor's appointment.,high
see you next week,Can't wait for our meeting next week!,Our project deadline has been moved to next week.,See you next week.,high
this is the neatest toy i have had,I just got the new robot dog and I think it's amazing!,Have you seen the new robotic vacuum cleaner in action?,This is the neatest toy I have had.,high
see you later,Are you ready to meet up later?,I'll bring the books for our next meeting.,See you later.,high
see you later,Are you ready to meet up later?,I'll bring the books for our next meeting.,See you later.,high
