,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
684,is the new moon visible in the city tonight?,I am not aware of any.,5,1,Have you received the latest company financial report?,I am not aware of any.,3,2,I am not aware of any.,7,high,2.0,6,medium,low,low,low,medium,low,1.0,1.4
699,have you seen the forecast for tonight?,"Ava, do we need to worry about this?",5,2,The stock market has experienced a significant drop today.,"Ava, do we need to worry about this?",8,2,"Ava, do we need to worry about this?",9,high,0.0,8,medium,low,low,low,high,low,1.0,1.4
543,why are my electricity and water bills so high?,No employment claims for gas or power.,7,3,Have you received the energy bill yet?,No employment claims for gas or power.,5,1,No employment claims for gas or power.,8,high,4.0,7,low,low,low,low,low,low,1.0,1.0
1045,Did Natalie say she'd meet us at 7?,Was wondering if you and Natalie connected?,8,2,I saw Natalie at the park with a man yesterday,Was wondering if you and Natalie connected?,8,2,Was wondering if you and Natalie connected?,8,high,10.0,7,medium,medium,low,low,low,low,1.4,1.8
827,Have you seen the new movie trailer?,"If possible, I'd like to get Amy's opinion.",5,2,Do you think we should invite Tom to the party?,"If possible, I'd like to get Amy's opinion.",8,2,"If possible, I'd like to get Amy's opinion.",2,low,4.0,8,low,low,low,high,low,low,1.4,1.0
1090,are you looking forward to the party tonight?,Jim please confirm to Vince you are happy.,8,3,The new project's timeline seems quite tight. Are we all in agreement with the deadlines?,Jim please confirm to Vince you are happy.,9,2,Jim please confirm to Vince you are happy.,7,high,3.0,8,low,low,medium,high,low,low,1.4,1.2
466,where are you going for your birthday celebration?,Let me know where you might be.,8,2,"I've lost my way in this maze of streets, can you help?",Let me know where you might be.,5,3,Let me know where you might be.,3,low,0.0,7,low,low,medium,high,medium,low,1.4,1.2
883,did you get the invitation to John's birthday party?,Can you get with Mary and make sure?,6,2,I need to discuss some important matters with Mary. Can you arrange a meeting?,Can you get with Mary and make sure?,8,2,Can you get with Mary and make sure?,7,high,0.0,8,medium,low,medium,high,medium,low,1.4,1.6
223,"I didn't get the job, why did I get rejected?",There will be some better news later today,6,1,I received some disappointing news from my doctor today.,There will be some better news later today.,5,2,There will be some better news later today,3,low,6.0,8,low,low,low,high,low,low,1.4,1.0
542,Did the Brown family really fund the University of Oxford?,I am not concerned with the Brown money.,6,3,Have you heard about the recent financial scandal involving the Brown family?,I am not concerned with the Brown money.,5,2,I am not concerned with the Brown money.,8,high,3.0,8,low,low,low,high,low,low,1.4,1.0
637,Where are we having lunch today?,"We are still in Palacios, having a quiet AM.",8,2,Did you receive the email about our plans for this weekend?,"We are still in Palacios, having a quiet AM.",5,2,"We are still in Palacios, having a quiet AM.",3,low,4.0,9,low,low,low,low,low,medium,1.4,1.0
119,where do you want to go for dinner?,Then we can go to Zainy Brainy.,7,2,Let's discuss some complex concepts. I believe the human brain is capable of incredible feats.,Then we can go to Zainy Brainy.,5,3,Then we can go to Zainy Brainy.,7,high,3.0,7,low,low,medium,high,low,low,1.4,1.2
529,What's the current project status?,In a meeting with your guys now.,6,2,I need you to look into that urgent issue with the marketing team.,In a meeting with your guys now.,7,2,In a meeting with your guys now.,7,high,0.0,7,low,low,low,high,low,low,1.4,1.0
92,Did Ronaldo play well in the match?,He played goalie almost the entire game.,6,2,Did Johnson make every save during the soccer match?,He played goalie almost the entire game.,7,1,He played goalie almost the entire game.,7,high,3.0,7,medium,low,low,high,medium,low,1.4,1.4
929,How was your weekend getaway?,Hope you had a good weekend.,8,2,I finished reading an interesting article on quantum physics.,Hope you had a good weekend.,5,3,Hope you had a good weekend.,3,low,0.0,6,low,medium,high,low,low,low,1.4,1.8
694,are we prepared to list the US subsidiary?,We haven't sold the US business as yet.,8,2,Have you made any decisions about the US division's future?,We haven't sold the US business as yet.,8,2,We haven't sold the US business as yet.,2,low,1.0,8,low,low,low,medium,medium,medium,1.6,1.0
532,how long does it take to finish shopping?,How long can you guys shop?,6,3,Let's plan our weekend shopping trip to the mall.,How long can you guys shop?,10,2,How long can you guys shop?,7,high,-2.0,6,low,medium,medium,high,medium,low,1.8,1.6
613,What is the primary generator that produces electricity from natural gas in North America?,What Enron entity owns the EOTT GP?,8,3,Do you know which Enron entity manages the EOTT investments?,What Enron entity owns the EOTT GP?,5,2,What Enron entity owns the EOTT GP?,2,low,4.0,7,low,medium,medium,high,low,low,1.8,1.6
540,Can we discuss the Smith report before you leave on Friday?,Hopefully this can wait until Monday.,6,2,I have an urgent work issue that I need to address now.,Hopefully this can wait until Monday.,5,2,Hopefully this can wait until Monday.,8,high,7.0,6,low,medium,low,high,low,low,1.8,1.4
515,did you talk to the manager about my project?,Will let you know how call goes in morning.,4,2,I have an important business call in the morning.,Will let you know how call goes in morning.,8,2,Will let you know how call goes in morning.,3,low,1.0,9,low,medium,low,high,low,low,1.8,1.4
407,have we been meeting these deadlines consistently?,I think that we should enforce the agreement.,8,2,The company's profits have significantly dropped recently.,I think that we should enforce the agreement.,8,2,I think that we should enforce the agreement.,3,low,3.0,8,low,high,low,low,low,low,1.8,1.8
245,can you send me the meeting agenda?,Let me know if I miss anything.,7,2,I've prepared a detailed project proposal for next quarter.,Let me know if I miss anything.,10,2,Let me know if I miss anything.,3,low,0.0,7,low,medium,medium,high,medium,low,1.8,1.6
541,How was your weekend after being unwell?,I'm fully recovered and back on pace.,8,1,"I've heard you've been under the weather lately, how are you feeling now?",I'm fully recovered and back on pace.,8,1,I'm fully recovered and back on pace.,7,high,4.0,7,medium,high,medium,low,medium,low,1.8,2.4
1095,can you send me my flight schedule?,We just pulled schedules from the web.,8,2,Have you set a meeting time yet?,We just pulled schedules from the web.,7,2,We just pulled schedules from the web.,7,high,3.0,7,medium,high,medium,low,low,low,1.8,2.4
937,Are we on the right path?,Do we know what we need?,8,3,Let's discuss our plan for the marketing campaign.,Do we know what we need?,10,2,Do we know what we need?,7,high,0.0,6,low,medium,medium,high,medium,low,1.8,1.6
760,I've been craving something sweet all day,Are you on the diet with me?,8,1,I've decided to cut out sugar completely from my diet.,Are you on the diet with me?,8,2,Are you on the diet with me?,7,high,3.0,7,medium,medium,low,high,low,low,1.8,1.8
441,have you seen Stan's latest vacation pictures?,I haven't visited with Stan lately.,8,1,Have you seen John and Stan at the park recently?,I haven't visited with Stan lately.,5,2,I haven't visited with Stan lately.,7,high,5.0,6,low,low,medium,high,low,medium,1.8,1.2
774,Have you ever felt like you're stuck in neutral?,I just had my head in the clouds.,6,2,Have you seen the Northern Lights lately?,I just had my head in the clouds.,3,2,I just had my head in the clouds.,7,high,-2.0,8,low,low,low,high,low,medium,1.8,1.0
895,Are you worried about the impending economic crisis?,I think afraid of mass exodus.,6,3,Have you heard about the potential economic crisis in neighboring countries?,I think afraid of mass exodus.,4,2,I think afraid of mass exodus.,9,high,3.0,6,low,high,medium,low,low,low,1.8,2.0
503,Can I get the Caltech letter done by tomorrow?,Can you get me the Calger letter done?,6,3,I need to submit the report by tomorrow,Can you get me the Calger letter done?,8,2,Can you get me the Calger letter done?,3,low,3.0,8,low,low,low,high,low,medium,1.8,1.0
42,has he borrowed money from you before?,If so he probably will have to pay back.,7,2,John borrowed more money than he could repay.,If so he probably will have to pay back.,6,1,If so he probably will have to pay back.,3,low,5.0,9,low,high,medium,medium,low,low,2.0,2.0
761,Can we charter a private jet for our upcoming vacation?,That would likely be an expensive option.,6,3,I heard about a new phone model with diamond encrusted buttons.,That would likely be an expensive option.,6,2,That would likely be an expensive option.,8,high,9.0,7,low,low,low,medium,high,high,2.0,1.0
80,Can we discuss the details of my project over the phone?,Can you call me at home?,8,2,I've found an important email from your boss,Can you call me at home?,9,2,Can you call me at home?,7,high,0.0,6,low,medium,low,high,low,medium,2.2,1.4
167,Can you remind me to follow up with Sarah regarding our company's financial reports?,Tell her to get my expense report done.,7,2,The company's annual budget meeting is scheduled for next week.,Tell her to get my expense report done.,8,2,Tell her to get my expense report done.,8,high,3.0,8,low,high,medium,high,low,low,2.2,2.0
870,can you send me the latest sales report?,I have a high level in my office.,8,3,Do you have a important meeting in your office soon?,I have a high level in my office.,5,2,I have a high level in my office.,9,high,3.0,8,low,high,low,high,low,low,2.2,1.8
1129,Are you planning to invite any colleagues from the marketing department?,Just in case we haven't invited any of them.,7,2,Do you think we should send out formal invitations for the event?,Just in case we haven't invited any of them.,8,2,Just in case we haven't invited any of them.,8,high,2.0,9,low,high,medium,low,low,medium,2.2,2.0
939,I'm surprised to see Julia switching groups without discussing it with anyone,Does Dan know about Julia changing groups?,8,2,I heard that Julia joined a new club last week,Does Dan know about Julia changing groups?,8,2,Does Dan know about Julia changing groups?,7,high,3.0,7,medium,high,medium,low,low,medium,2.2,2.4
1146,can you review the sales report for last quarter?,I will take a look at this today.,7,1,Can you check if the company's financial reports from last quarter are ready?,I will take a look at this today.,8,2,I will take a look at this today.,7,high,1.0,8,high,low,low,high,high,high,2.2,1.8
462,I heard Vince is in trouble with the authorities again,What are you up to with Vince,8,2,I just received an email from Vince about our project plans.,What are you up to with Vince?,8,2,What are you up to with Vince,3,low,3.0,7,medium,high,medium,high,low,low,2.2,2.4
303,can you make it to the concert tonight?,"Ava, please put me on the list.",6,3,I'd like to attend the upcoming workshop.,"Ava, please put me on the list.",9,1,"Ava, please put me on the list.",8,high,3.0,7,low,high,medium,high,high,low,2.2,2.0
787,Are you attending the upcoming conference?,Meeting with Alaska Governor Tony Knowles on November 30th.,4,3,Have you arranged any meetings with notable political figures in the near future?,Meeting with Alaska Governor Tony Knowles on November 30th.,5,2,Meeting with Alaska Governor Tony Knowles on November 30th.,0,low,8.0,9,medium,high,medium,high,high,low,2.2,2.4
96,"I'm running late for our meeting, can you meet me at the usual spot?",I am in 50M if you need me.,6,2,Can you help me find the address of the new library?,I am in 50M if you need me.,7,2,I am in 50M if you need me.,7,high,0.0,8,low,high,low,low,low,medium,2.2,1.8
875,The project deadline is nearing and we're still working on the final draft.,"If we don't get it, could be trouble.",7,2,The stock market has seen record highs recently.,"If we don't get those profits, could be trouble.",8,2,"If we don't get it, could be trouble.",9,high,0.0,8,high,medium,medium,high,low,medium,2.2,2.4
702,I just returned from an amazing beach holiday!,You have a nice holiday too.,6,2,I'm enjoying the sunny weather on my vacation in Bali,You have a nice holiday too.,10,2,You have a nice holiday too.,8,high,0.0,6,low,high,low,high,low,low,2.2,1.8
369,Have you guys decided on holiday plans yet?,We're planning to go to West Virginia for Christmas.,6,2,Have you decided on your holiday destination for Christmas?,We're planning to go to West Virginia for Christmas.,7,2,We're planning to go to West Virginia for Christmas.,3,low,4.0,9,medium,identical,high,high,high,high,2.2,1.8
661,did you receive the message i just sent?,Did you send out a global message from me?,9,3,I just noticed an unusual email activity from your account.,Did you send out a global message from me?,8,2,Did you send out a global message from me?,7,high,4.0,9,low,high,medium,high,medium,low,2.2,2.0
1067,can you send me a copy of the contract?,We will get you a copy.,8,2,I need a copy of the contract for next week's meeting.,We will get you a copy.,10,2,We will get you a copy.,8,high,0.0,6,low,high,medium,medium,low,medium,2.4,2.0
384,Why did he move to Deerfield?,I wish he would leave Deerfield alone.,8,3,Susan mentioned she's moving to Boston.,I wish he would leave Deerfield alone.,3,2,I wish he would leave Deerfield alone.,7,high,3.0,7,low,high,medium,high,low,medium,2.6,2.0
880,How's your day going with the project deadline approaching?,Mike is putting pressure on me.,8,3,Mike asked us to meet at the office tomorrow at 9 am.,Mike is putting pressure on me.,8,1,Mike is putting pressure on me.,7,high,2.0,6,low,high,low,high,low,medium,2.6,1.8
1094,Can I meet you at 3 pm today?,Is this the only time available?,6,2,Can we meet next Tuesday at 3 PM?,Is this the only time available?,10,1,Is this the only time available?,9,high,2.0,6,low,high,medium,high,medium,medium,2.6,2.0
1097,Did you confirm the meeting with Mary Kay for tomorrow?,Did you get the message to call Mary Kay?,8,2,I found your lost wallet on the bus,Did you get the message to call Mary Kay?,8,2,Did you get the message to call Mary Kay?,7,high,4.0,9,low,high,low,high,low,medium,2.6,1.8
231,I'll be missing you tomorrow when we're apart,I will be thinking of you.,8,2,I'm thinking of you in my prayers today,I will be thinking of you.,9,1,I will be thinking of you.,7,high,2.0,6,medium,high,medium,high,high,medium,2.6,2.4
674,can you send me the updated project report by tomorrow?,How soon do you need it?,8,1,I need the report completed for the board meeting tomorrow.,How soon do you need it?,10,2,How soon do you need it?,8,high,0.0,6,low,medium,medium,high,high,high,2.6,1.6
784,where are they studying for exams?,Where are they hitting the books at?,8,2,I've heard they're studying at the library,Where are they hitting the books at?,9,2,Where are they hitting the books at?,7,high,3.0,7,medium,high,medium,low,medium,high,2.6,2.4
856,Have you ever seen Ken Caminiti at Animal Kingdom?,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,9,1,Did you go to Animal Kingdom over the weekend?,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,5,2,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,2,low,6.0,9,low,high,low,high,low,medium,2.6,1.8
305,have you ever tried to quit using BBM?,I am now officially a Blackberry addict.,6,3,Have you tried the new Blackberry messenger features?,I am now officially a Blackberry addict.,8,1,I am now officially a Blackberry addict.,9,high,5.0,7,low,high,low,high,low,medium,2.6,1.8
650,Where are we meeting for the project discussion today?,I'll meet you at Bill Sperry's office at 12:30.,8,1,Let's discuss the Bill Sperry project proposals at his office today.,I'll meet you at Bill Sperry's office at 12:30.,8,2,I'll meet you at Bill Sperry's office at 12:30.,3,low,4.0,9,low,high,high,high,high,high,3.0,2.2
926,Are you free on Tuesday?,I have a doctor's appointment for 11:00 on Tuesday.,6,3,Do you have any important appointments coming up?,I have a doctor's appointment for 11:00 on Tuesday.,8,2,I have a doctor's appointment for 11:00 on Tuesday.,1,low,5.0,9,low,high,medium,high,high,high,3.0,2.0
772,We need to finalize our report before meeting with El Paso's team.,When do we review with El Paso?,6,3,We need to finalize the plans for next quarter's business trips.,When do we review with El Paso?,5,2,When do we review with El Paso?,7,high,3.0,7,medium,high,medium,high,medium,high,3.0,2.4
99,Are you free to meet on Thursday October 25?,I'll see you Thursday October 25.,8,3,Let's meet up to discuss the project proposal next week.,I'll see you Thursday October 25.,8,2,I'll see you Thursday October 25.,3,low,5.0,6,low,high,medium,high,medium,high,3.0,2.0
