,ID,Prompt A,Prompt B,original enron response,Florian,Ioulia,Anna,Annas preference,Prompt_A_use_score,Prompt_B_use_score
0,315,When can you give me some feedback on my article?,I hope you had time to read my report.,I will take a look at this today.,A,A,,,0.16082677,0.06450778990983963
1,192,"Sorry I missed your call, how can I help?","Hey, just to let you know, my team made good progress on our project yesterday.",We need to talk about this month.,B,A,A,Strong,0.11783178,0.05679637938737869
2,78,I chose B as the response to the last exam question,We should tell them that it's too late to consider new updates to the app.,I think that is the right answer.,A,A,,,0.11102359,0.11411817371845245
3,16,"Just to let you know, Mark is also coming to the meeting.",There is a workshop that seems to discuss some topics related to the idea we had last week.,I would like to attend if so.,B,B,,,0.12855262,0.17066049575805664
4,307,When is Jane coming? I heard she'll be here between April 20 - 25th.,I believe the opening days were 14 and 15 of May. Do you remember?,I think those are the right dates.,A,B,B,no preference,0.2142455,0.17569966614246368
5,134,"I'll be in Austin next weekend, do you want to do something together?","After 2 years, I'm coming back to town. I hope to see you around!",We can have wine and catch up.,B,A,A,slight,0.26363015,0.06695178151130676
6,205,"I just had a small yoghurt for lunch, I'm starving!",I just ordered a salad for our lunch tomorrow.,Are you on the diet with me?,B,B,,,0.22807132,0.1702740341424942
7,249,John Marshall is the person responsible for product returns.,John wants to know ASAP if you will come to the meeting today.,Do you have a number for him?,A,A,,,0.10942437,0.1810121089220047
8,165,Are you still on holidays?,"Our holidays are officially over, we should meet and catch up!",We are on a plane coming back.,A,A,,,0.25630975,0.11663394421339035
9,163,"Do I send this message to just yourself, or should I also copy Michelle in?",I got the invoice that Rachel and you requested. Should I send it to you?,Please send it to both of us.,B,A,A,no preference,0.2002383,0.23514127731323242
10,145,My team should fill you in shortly.,My team would like to know more about that idea you mentioned yesterday.,In a meeting with your guys now.,B,B,,,0.0838754,0.07261890172958374
11,171,"I will reply to your email by Friday, hopefully.",Let's meet at 9am if I manage to buy that thing.,If not can I call you?,B,A,A,slight,0.11700985,0.10097651928663254
12,251,We should arrange a time first thing tomorrow.,I need urgently your feedback for tomorrow's meeting.,I'll call you in the morning.,A,A,,,0.15366168,0.1070031225681305
13,180,"Hey, is anyone still at the office?",Just arrived! Are you still with Jill at the conference?,Both of us are still here.,B,B,,,0.253334,0.23819893598556519
14,304,I am not going to talk to her for 3 days.,"Good morning, we need you to approve a 20k purchase order we just received.",What is the purpose of this?,A,B,B,slight,0.10252282,0.1009969487786293
15,292,I'm really looking forward to reading your new book!,"Please send me the invoice of today's lunch, otherwise we can't claim a reimbursement!",We will get you a copy.,B,A,A,slight because shorter,0.221763,0.16248732805252075
16,34,"So, is Jane coming after all?",Do you know if she plans to come? Her email was a bit unclear to me.,It reads like she is in.,B,B,,,0.11846372,0.20851099491119385
17,259,I wonder who could tell us more about what happened at that party.,We need to provide more information about the event on our website.,Jan has a lot of detail.,B,A,B,slight because of professional context,0.094512746,0.10714920610189438
18,302,"Mike, such a long time, it's good to hear from you!","Oh boy, I'm still fixing those computers that got hacked.",Hope your week is going well.,B,A,A,strong,0.14704815,0.08212681114673615
19,185,We need to get that order sent straight away.,Could you please send me your biography for the flyers?,How soon do you need it?,B,B,,,0.07765199,0.17446637153625488
20,191,"Have a great Easter week, Mary!",I went to the Greek islands. It's not Costa Rica but it was fun.,You have a nice holiday too.,A,A,,,0.28821257,0.23006385564804077
21,84,I had a terrible flu last week.,I broke my ankle. I'm been told to stay at home for one month.,I hope you are feeling better.,A,A,,,0.26855564,0.20924127101898193
22,128,What do you want me to help with?,Everything is ready to go. Let me know about the next steps.,Would you mind doing the following?,B,A,A,no  preference,0.0823528,0.11343981325626373
23,59,I am going to miss you while you're away.,I'm about ot meet the investors. Wish me luck!,I will be thinking of you.,A,A,,,0.1520656,0.14231649041175842
24,195,Did you try rebooting your computer?,Have you tried to unplug and plug it back?,I tried that to no avail.,A,B,A,no preference,0.3763675,0.282789021730423
25,54,Just got off from bus 5 but I can 't see you anywhere.,"Were are you? The meeting has started. Room A, seventh floor.",I thought you were on 6.,A,A,,,0.17931059,0.18434526026248932
26,73,"I'm not that good with these, but perhaps I can help you with something else.",I've been told you couldn't finish it. The deadline is approaching!,Can you help with this one?,A,A,,,0.05829346,0.050924621522426605
27,257,I really don't want to go to Clare's birthday party.,"I want to attend the conference, although I don't have anything to present this year.",Do you need to be there?,A,A,,,0.19298524,0.1707635521888733
28,161,I just bought $50 worth of groceries.,We could only talk to one client so far. One more is scheduled on Friday.,Is that enough for this week?,A,A,,,0.154706,0.1015009880065918
