,Unnamed: 0,original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s,llama_prompt_n,mistral_prompt_n,memorability_n,llama_use_s,mistral_use_s,llama_use_n,mistral_use_n
0,0,yes i am here actually,are you free to meet up today?,Do you live at 123 Main Street?,Yes I am here actually.,high,"You're really late, what happened?",Is everything alright there? I have a present for you.,high,0.34560072,0.21115807,0.048677802,0.21897772
1,1,thats a lot of dollars,"I just saw the price of my dream car and it's $120,000","I just sold my old car for $25,000.",That's a lot of dollars.,high,How did you manage to book such a high-end place?,"Hey Lisa, I have some exciting news!",high,0.26328507,0.20559154,0.07779622,0.059851635
2,2,are you going to join us for lunch,have you finalized the meeting time?,I've made reservations for six at the new Italian place downtown.,Are you going to join us for lunch?,high,I hope you're not stuck in traffic?,"I've got to take this call, it's urgent.",high,0.17849785,0.12195334,0.070873186,0.03356163
3,3,and how would i be going for work,I'm feeling pretty stressed about the project deadline,Have you checked the traffic on your usual commute route?,And how would I be going for work?,low,Have you finalized the project plan?,What time will you be getting here for lunch?,low,0.0733312,0.20490564,0.1287486,0.26527715
4,4,further out  will fax you price target slide,can you provide me with the latest sales figures?,Have you seen the latest stock market trend for XYZ corporation?,Further out - will fax you price target slide.,low,Do you know when Ryan will get here?,Do you have a moment to discuss this promising stock trend?,low,0.14442818,0.1523062,0.08657175,0.10475974
5,5,yes i am coming twice,Can you please come to the office?,I'll be at the party tonight around 8 pm.,Yes I am coming twice.,high,What time should I expect you for dinner?,"Hello Anna, I was wondering if we could change the date of our dinner appointment?",high,0.25109488,0.13648537,0.18368116,0.1552599
6,6,if so he probably will have to pay back,has he borrowed money from you before?,John borrowed more money than he could repay.,If so he probably will have to pay back.,low,How do you think I'll be able to cover this expense?,"John, do you have any good news about when I can expect the loan repayment?",low,0.3165692,0.20643097,0.04221924,0.24605367
7,7,was it a car wreck,I just got into a bad accident on the highway,I saw an accident at the corner of Elm and Oak.,Was it a car wreck?,high,I'm really concerned about what I saw when I got here,Did something happen on the road?,high,0.27003706,0.16605079,0.033911828,0.20512797
8,8,please forward to andy edison and stuart zisman,can you forward the meeting minutes to Andy Edison and Stuart Zisman?,Have you received the latest market analysis report?,Please forward to Andy Edison and Stuart Zisman.,low,Have you had a chance to review the marketing proposal?,Shall we arrange for someone to present the new data findings to Andy and Stuart?,low,0.41114834,0.107811466,0.093637906,0.2149165
9,9,thanks for the quick turnaround,Can you please confirm the new project deadline?,I've finished the report ahead of schedule.,Thanks for the quick turnaround.,high,How did you manage to complete it so quickly?,Have you had a chance to look over the files I sent you?,high,0.17283392,0.08010666,0.07630914,0.13485716
