,Unnamed: 0,original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s,llama_prompt_n,mistral_prompt_n,memorability_n,llama_story,mistral_story,llama_use_s,mistral_use_s,llama_use_n,mistral_use_n
0,0,yes i am here actually,are you free to meet up today?,Do you live at 123 Main Street?,Yes I am here actually.,high,"You're really late, what happened?",Is everything alright there? I have a present for you.,high,"Jane was worried about her friend Mark's absence from the party. She had been waiting for him to arrive for hours, but he still hadn't shown up. Just as she was starting to get anxious, Mark walked in and said 'Yes I am here actually.'","Tom was waiting at the bus stop for his friend, Sarah, to arrive. He had brought her a gift as a surprise. However, Tom saw Sarah approaching from afar and realized she was arguing with someone.",0.34560072,0.21115807,0.06314627,0.21673435
1,1,thats a lot of dollars,"I just saw the price of my dream car and it's $120,000","I just sold my old car for $25,000.",That's a lot of dollars.,high,How did you manage to book such a high-end place?,"Hey Lisa, I have some exciting news!",high,John and Emily were discussing their upcoming trip to Europe. John was excited to show Emily the luxurious accommodations they had booked for their stay. Emily was impressed by the amenities offered at the hotel.,"Michael just got a surprise inheritance from his great uncle, worth a substantial amount of money. He was excited to share the news with his best friend, Lisa.",0.26328507,0.20559154,0.076007254,0.059551317
2,2,are you going to join us for lunch,have you finalized the meeting time?,I've made reservations for six at the new Italian place downtown.,Are you going to join us for lunch?,high,I hope you're not stuck in traffic?,"I've got to take this call, it's urgent.",high,"Samantha was excited to share her new business idea with Emily. They had scheduled a lunch meeting to discuss it, but Emily was running late.","Michael and Lisa were working together on a project at the office. They often took lunch breaks together to discuss their progress. However, today, Michael had received an unexpected call from his mother.",0.17849785,0.12195334,0.06496288,0.03167085
3,3,and how would i be going for work,I'm feeling pretty stressed about the project deadline,Have you checked the traffic on your usual commute route?,And how would I be going for work?,low,Have you finalized the project plan?,What time will you be getting here for lunch?,low,"Jane was getting ready for work and asked Mark how he planned to tackle the new project at his office. However, Mark was not prepared for the day.","Tom and Lisa were planning to meet up for lunch after work. However, unexpected traffic caused Tom to be delayed. When Lisa called him to check on his estimated arrival time, he replied:",0.0733312,0.20490564,0.13206735,0.27078572
4,4,further out  will fax you price target slide,can you provide me with the latest sales figures?,Have you seen the latest stock market trend for XYZ corporation?,Further out - will fax you price target slide.,low,Do you know when Ryan will get here?,Do you have a moment to discuss this promising stock trend?,low,"Emily was waiting for Ryan at the coffee shop. However, he was running late and had not arrived yet.","John was analyzing the stock market trends for their investment firm when he identified an opportunity. He contacted Sarah, his colleague and expert in market forecasting, to discuss the potential price target. However, she was currently working on a complex analysis that required undivided attention.",0.14442818,0.1523062,0.091344066,0.09965371
5,5,yes i am coming twice,Can you please come to the office?,I'll be at the party tonight around 8 pm.,Yes I am coming twice.,high,What time should I expect you for dinner?,"Hello Anna, I was wondering if we could change the date of our dinner appointment?",high,"Mark and Jane had planned to spend the evening together, but Mark's schedule got altered. He told Jane that he would be coming home twice.","Anna invited Tom to her house for dinner next week. However, Tom had another engagement that he couldn't miss, which required him to visit the same place twice in one week.",0.25109488,0.13648537,0.18219407,0.1556882
6,6,if so he probably will have to pay back,has he borrowed money from you before?,John borrowed more money than he could repay.,If so he probably will have to pay back.,low,How do you think I'll be able to cover this expense?,"John, do you have any good news about when I can expect the loan repayment?",low,"Tom had borrowed some money from his friend Alex, and it was time for him to pay back. But Tom hadn't forgotten about the loan and was planning on how he would settle his debt.","John had borrowed a large sum of money from Tom to start his business. However, the business was not doing well and John knew he might not be able to pay back the loan on time. Tom, unaware of John's financial struggles, was looking forward to being repaid soon.",0.3165692,0.20643097,0.03572485,0.24474329
7,7,was it a car wreck,I just got into a bad accident on the highway,I saw an accident at the corner of Elm and Oak.,Was it a car wreck?,high,I'm really concerned about what I saw when I got here,Did something happen on the road?,high,"Sarah was worried about her friend Alex's recent behavior and decided to visit him at his house. However, she found out that he had been involved in an accident.","Tom and Lisa were driving home from the grocery store when they saw emergency lights flashing behind them. They had been involved in an accident, but the extent of the damage was unclear.",0.27003706,0.16605079,0.03086768,0.20974031
8,8,please forward to andy edison and stuart zisman,can you forward the meeting minutes to Andy Edison and Stuart Zisman?,Have you received the latest market analysis report?,Please forward to Andy Edison and Stuart Zisman.,low,Have you had a chance to review the marketing proposal?,Shall we arrange for someone to present the new data findings to Andy and Stuart?,low,The company was planning a new marketing campaign and needed input from Andy Edison on the advertising strategy. Stuart Zisman was responsible for managing the project budget. The team leader sent an email asking them to review some documents.,Both Tom and Lisa were working on a project with tight deadlines. They had received an email containing important information but needed to share it with their colleagues Andy Edison and Stuart Zisman.,0.41114834,0.107811466,0.100174166,0.22994712
9,9,thanks for the quick turnaround,Can you please confirm the new project deadline?,I've finished the report ahead of schedule.,Thanks for the quick turnaround.,high,How did you manage to complete it so quickly?,Have you had a chance to look over the files I sent you?,high,"Sarah had been waiting for Alex to finish the project, and finally, he delivered it on time. Thanks for the quick turnaround.",Tom and Lisa were working on a project with a tight deadline. Tom finished his part early and sent the completed files to Lisa for her review. Lisa was impressed by Tom's quick work.,0.17283392,0.08010666,0.0790838,0.15035325
